;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:14/11/2020 at 14:54:47
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:-10.00mW            
;Max:2.582W              
;Average:2.518W              
;Std.Dev.:304.5mW             
;Overrange:0                   

;Channel B:Statistics
;Min:1.383W              
;Max:2.783W              
;Average:2.735W              
;Std.Dev.:208.7mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 14/11/2020 at 14:54:47.236000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  2.576e+000 	             	
         0.025	             	  2.776e+000 	
         6.066	  2.576e+000 	             	
         6.090	             	  2.778e+000 	
        12.000	  2.582e+000 	             	
        12.089	             	  2.783e+000 	
        18.063	  2.569e+000 	             	
        18.088	             	  2.778e+000 	
        24.062	  2.579e+000 	             	
        24.087	             	  2.776e+000 	
        30.060	  2.575e+000 	             	
        30.085	             	  2.773e+000 	
        36.059	  2.581e+000 	             	
        36.084	             	  2.777e+000 	
        42.061	  2.573e+000 	             	
        42.083	             	  2.773e+000 	
        48.056	  2.570e+000 	             	
        48.082	             	  2.778e+000 	
        54.055	  2.573e+000 	             	
        54.081	             	  2.776e+000 	
        60.054	  2.575e+000 	             	
        60.079	             	  2.774e+000 	
        66.052	  2.571e+000 	             	
        66.078	             	  2.776e+000 	
        72.056	  2.568e+000 	             	
        72.077	             	  2.770e+000 	
        78.050	  2.573e+000 	             	
        78.076	             	  2.776e+000 	
        84.049	  2.576e+000 	             	
        84.074	             	  2.770e+000 	
        90.047	  2.571e+000 	             	
        90.073	             	  2.772e+000 	
        96.045	  2.565e+000 	             	
        96.072	             	  2.772e+000 	
       102.050	  2.567e+000 	             	
       102.071	             	  2.770e+000 	
       108.043	  2.574e+000 	             	
       108.070	             	  2.773e+000 	
       114.042	  2.568e+000 	             	
       114.068	             	  2.770e+000 	
       120.040	  2.567e+000 	             	
       120.067	             	  2.768e+000 	
       126.039	  2.568e+000 	             	
       126.066	             	  2.772e+000 	
       132.044	  2.561e+000 	             	
       132.065	             	  2.768e+000 	
       138.036	  2.570e+000 	             	
       138.063	             	  2.768e+000 	
       144.035	  2.569e+000 	             	
       144.062	             	  2.771e+000 	
       150.034	  2.559e+000 	             	
       150.061	             	  2.762e+000 	
       156.033	  2.568e+000 	             	
       156.060	             	  2.766e+000 	
       162.037	  2.559e+000 	             	
       162.059	             	  2.761e+000 	
       168.030	  2.557e+000 	             	
       168.057	             	  2.761e+000 	
       174.028	  2.562e+000 	             	
       174.056	             	  2.768e+000 	
       180.028	  2.555e+000 	             	
       180.055	             	  2.768e+000 	
       186.027	  2.560e+000 	             	
       186.054	             	  2.765e+000 	
       192.030	  2.560e+000 	             	
       192.052	             	  2.763e+000 	
