;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:14/11/2020 at 15:04:48
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:-5.000mW            
;Max:2.618W              
;Average:2.472W              
;Std.Dev.:44.25mW             
;Overrange:0                   

;Channel B:Statistics
;Min:-2.000mW            
;Max:2.793W              
;Average:2.689W              
;Std.Dev.:40.39mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 14/11/2020 at 15:04:48.636000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	 -5.000e-003 	             	
         0.021	             	 -2.000e-003 	
         6.000	 -4.000e-003 	             	
         6.087	             	 -1.000e-003 	
        12.069	  2.618e+000 	             	
        12.086	             	  2.793e+000 	
        18.062	  2.608e+000 	             	
        18.084	             	  2.787e+000 	
        24.061	  2.615e+000 	             	
        24.083	             	  2.790e+000 	
        30.059	  2.612e+000 	             	
        30.082	             	  2.790e+000 	
        36.061	  2.595e+000 	             	
        36.081	             	  2.788e+000 	
        42.058	  2.594e+000 	             	
        42.079	             	  2.786e+000 	
        48.056	  2.589e+000 	             	
        48.078	             	  2.787e+000 	
        54.054	  2.578e+000 	             	
        54.077	             	  2.788e+000 	
        60.054	  2.598e+000 	             	
        60.076	             	  2.783e+000 	
        66.056	  2.579e+000 	             	
        66.075	             	  2.783e+000 	
        72.050	  2.585e+000 	             	
        72.073	             	  2.780e+000 	
        78.049	  2.580e+000 	             	
        78.072	             	  2.781e+000 	
        84.047	  2.577e+000 	             	
        84.071	             	  2.782e+000 	
        90.046	  2.583e+000 	             	
        90.070	             	  2.780e+000 	
        96.050	  2.564e+000 	             	
        96.068	             	  2.787e+000 	
       102.044	  2.575e+000 	             	
       102.067	             	  2.781e+000 	
