;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:16/11/2020 at 09:57:09
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   

;Channel B:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 16/11/2020 at 09:57:09.644000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  2.423e+000 	             	
         0.019	             	  2.685e+000 	
         6.066	  2.427e+000 	             	
         6.084	             	  2.675e+000 	
        12.003	  2.416e+000 	             	
        12.083	             	  2.683e+000 	
        18.063	  2.423e+000 	             	
        18.082	             	  2.679e+000 	
        24.062	  2.423e+000 	             	
        24.081	             	  2.686e+000 	
        30.060	  2.421e+000 	             	
        30.079	             	  2.686e+000 	
        36.059	  2.426e+000 	             	
        36.078	             	  2.685e+000 	
        42.063	  2.422e+000 	             	
        42.077	             	  2.679e+000 	
        48.056	  2.424e+000 	             	
        48.076	             	  2.683e+000 	
        54.054	  2.410e+000 	             	
        54.075	             	  2.685e+000 	
        60.053	  2.423e+000 	             	
        60.073	             	  2.686e+000 	
        66.054	  2.426e+000 	             	
        66.072	             	  2.686e+000 	
        72.050	  2.424e+000 	             	
        72.071	             	  2.680e+000 	
        78.049	  2.424e+000 	             	
        78.070	             	  2.689e+000 	
        84.048	  2.413e+000 	             	
        84.068	             	  2.686e+000 	
        90.047	  2.425e+000 	             	
        90.067	             	  2.687e+000 	
        96.049	  2.424e+000 	             	
        96.066	             	  2.681e+000 	
       102.044	  2.422e+000 	             	
       102.065	             	  2.684e+000 	
       108.043	  2.430e+000 	             	
       108.064	             	  2.686e+000 	
       114.041	  2.427e+000 	             	
       114.062	             	  2.689e+000 	
       120.040	  2.432e+000 	             	
       120.061	             	  2.682e+000 	
       126.043	  2.415e+000 	             	
       126.060	             	  2.691e+000 	
       132.037	  2.426e+000 	             	
       132.059	             	  2.691e+000 	
       138.036	  2.421e+000 	             	
       138.057	             	  2.694e+000 	
       144.035	  2.426e+000 	             	
       144.056	             	  2.692e+000 	
       150.034	  2.421e+000 	             	
       150.055	             	  2.689e+000 	
       156.038	  2.429e+000 	             	
       156.054	             	  2.695e+000 	
       162.030	  2.418e+000 	             	
       162.053	             	  2.688e+000 	
       168.029	  2.425e+000 	             	
       168.051	             	  2.692e+000 	
       174.028	  2.417e+000 	             	
       174.050	             	  2.691e+000 	
       180.026	  2.419e+000 	             	
       180.049	             	  2.693e+000 	
       186.031	  2.426e+000 	             	
       186.048	             	  2.691e+000 	
       192.025	  2.426e+000 	             	
       192.046	             	  2.691e+000 	
       198.022	  2.436e+000 	             	
       198.045	             	  2.691e+000 	
       204.021	  2.433e+000 	             	
       204.044	             	  2.690e+000 	
       210.020	  2.427e+000 	             	
       210.043	             	  2.695e+000 	
       216.025	  2.426e+000 	             	
       216.042	             	  2.688e+000 	
       222.017	  2.433e+000 	             	
       222.040	             	  2.692e+000 	
       228.016	  2.419e+000 	             	
       228.039	             	  2.687e+000 	
       234.015	  2.430e+000 	             	
       234.038	             	  2.690e+000 	
       240.015	  2.439e+000 	             	
       240.037	             	  2.688e+000 	
       246.018	  2.441e+000 	             	
       246.035	             	  2.690e+000 	
       252.011	  2.431e+000 	             	
       252.034	             	  2.688e+000 	
       258.010	  2.431e+000 	             	
       258.033	             	  2.689e+000 	
       264.008	  2.429e+000 	             	
       264.032	             	  2.689e+000 	
       270.010	  2.432e+000 	             	
       270.031	             	  2.692e+000 	
       276.006	  2.424e+000 	             	
       276.029	             	  2.694e+000 	
       282.004	  2.435e+000 	             	
       282.028	             	  2.689e+000 	
       288.003	  2.423e+000 	             	
       288.027	             	  2.688e+000 	
       294.001	  2.433e+000 	             	
       294.026	             	  2.688e+000 	
       300.004	  2.430e+000 	             	
       300.024	             	  2.689e+000 	
       306.023	             	  2.680e+000 	
       306.073	  2.433e+000 	             	
       312.022	             	  2.676e+000 	
       312.067	  2.440e+000 	             	
       318.021	             	  2.683e+000 	
       318.066	  2.437e+000 	             	
       324.020	             	  2.689e+000 	
       324.065	  2.428e+000 	             	
       330.018	             	  2.689e+000 	
       330.069	  2.426e+000 	             	
       336.063	  2.426e+000 	             	
       336.084	             	  2.690e+000 	
       342.062	  2.425e+000 	             	
       342.083	             	  2.685e+000 	
       348.061	  2.425e+000 	             	
       348.081	             	  2.687e+000 	
       354.055	  2.421e+000 	             	
       354.080	             	  2.680e+000 	
       360.063	  2.429e+000 	             	
       360.079	             	  2.688e+000 	
       366.052	  2.432e+000 	             	
       366.078	             	  2.689e+000 	
       372.051	  2.424e+000 	             	
       372.076	             	  2.692e+000 	
       378.050	  2.438e+000 	             	
       378.075	             	  2.691e+000 	
       384.048	  2.435e+000 	             	
       384.074	             	  2.694e+000 	
       390.053	  2.424e+000 	             	
       390.073	             	  2.689e+000 	
       396.046	  2.420e+000 	             	
       396.072	             	  2.694e+000 	
       402.044	  2.437e+000 	             	
       402.070	             	  2.691e+000 	
       408.043	  2.440e+000 	             	
       408.069	             	  2.689e+000 	
       414.042	  2.421e+000 	             	
       414.068	             	  2.693e+000 	
       420.045	  2.425e+000 	             	
       420.067	             	  2.691e+000 	
       426.039	  2.435e+000 	             	
       426.065	             	  2.690e+000 	
       432.037	  2.427e+000 	             	
       432.064	             	  2.691e+000 	
       438.036	  2.426e+000 	             	
       438.063	             	  2.693e+000 	
       444.036	  2.430e+000 	             	
       444.062	             	  2.696e+000 	
       450.039	  2.434e+000 	             	
       450.061	             	  2.691e+000 	
       456.033	  2.432e+000 	             	
       456.059	             	  2.695e+000 	
       462.031	  2.426e+000 	             	
       462.058	             	  2.698e+000 	
       468.029	  2.439e+000 	             	
       468.057	             	  2.691e+000 	
       474.031	  2.434e+000 	             	
       474.056	             	  2.691e+000 	
       480.027	  2.441e+000 	             	
       480.054	             	  2.688e+000 	
       486.026	  2.429e+000 	             	
       486.053	             	  2.691e+000 	
       492.024	  2.441e+000 	             	
       492.052	             	  2.694e+000 	
       498.023	  2.425e+000 	             	
       498.051	             	  2.693e+000 	
       504.025	  2.429e+000 	             	
       504.050	             	  2.699e+000 	
       510.020	  2.430e+000 	             	
       510.048	             	  2.690e+000 	
       516.019	  2.435e+000 	             	
       516.047	             	  2.690e+000 	
       522.018	  2.478e+000 	             	
       522.046	             	  2.687e+000 	
       528.016	  2.471e+000 	             	
       528.045	             	  2.691e+000 	
       534.020	  2.471e+000 	             	
       534.043	             	  2.686e+000 	
       540.014	  2.288e+000 	             	
       540.042	             	  2.695e+000 	
       546.013	  2.480e+000 	             	
       546.041	             	  2.685e+000 	
       552.011	  2.484e+000 	             	
       552.040	             	  2.691e+000 	
       558.010	  2.477e+000 	             	
       558.039	             	  2.681e+000 	
       564.015	  2.479e+000 	             	
       564.037	             	  2.682e+000 	
       570.007	  2.475e+000 	             	
       570.036	             	  2.691e+000 	
